0,rating
urban skyline,50.0
bustling streets,50.0
skyscrapers,50.0
neon lights,50.0
modern architecture,50.0
city park,50.0
traffic jams,50.0
pedestrian crossings,50.0
street markets,50.0
urban nightlife,50.0
rooftop views,50.0
subway station,50.0
urban decay,50.0
graffiti walls,50.0
industrial zones,50.0
street lamps,50.0
high-rise buildings,50.0
cityscape sunsets,50.0
urban reflections,50.0
alleys and backstreets,50.0
city harbor,50.0
historic districts,50.0
urban sprawl,50.0
downtown vibes,50.0
financial district,50.0
city squares,50.0
street performers,50.0
outdoor cafes,50.0
taxi cabs,50.0
urban rain,50.0
foggy mornings,50.0
city bridges,50.0
rooftop gardens,50.0
night markets,50.0
urban crowds,50.0
metro lines,50.0
waterfront views,50.0
street art murals,50.0
abandoned buildings,50.0
urban festivals,50.0
street vendors,50.0
cobblestone streets,50.0
vibrant neighborhoods,50.0
city fountains,50.0
fire escapes,50.0
public transport,50.0
urban parks,50.0
cultural districts,50.0
shopping districts,50.0
busy intersections,50.0
office towers,50.0
city traffic,50.0
urban sunsets,50.0
modern plazas,50.0
local landmarks,50.0
city nightlife,50.0
subway graffiti,50.0
crowded sidewalks,50.0
iconic skyscrapers,50.0
urban cafes,50.0
street photography,50.0
city lights at dusk,50.0
urban energy,50.0
busy boulevards,50.0
city skyline reflections,50.0
street festivals,50.0
urban greenery,50.0
bicycle lanes,50.0
waterfront promenades,50.0
commuter trains,50.0
city tunnels,50.0
urban zen spots,50.0
city markets,50.0
urban architecture,50.0
skyline silhouettes,50.0
city billboards,50.0
street musicians,50.0
pedestrian zones,50.0
old town vibes,50.0
local food stalls,50.0
historic landmarks,50.0
nighttime skyline,50.0
waterfront skyscrapers,50.0
inner-city charm,50.0
bike couriers,50.0
urban innovation,50.0
graffiti alleys,50.0
urban shopping,50.0
city vibes,50.0
rooftop bars,50.0
urban exploration,50.0
busy shopping streets,50.0
rain-soaked streets,50.0
downtown reflections,50.0
city festivals,50.0
nightlife district,50.0
city parks at night,50.0
iconic monuments,50.0
sprawling suburbs,50.0
urban serenity,50.0
